"idtournament","name","town","long_name","date_start","date_end","tour_count","tour_questions","tour_ques_per_tour","questions_total","type_name","main_payment_value","discounted_payment_value","discounted_payment_reason","date_requests_allowed_to","comment","site_url","main_payment_currency","discounted_payment_currency"
"2093","Сибирские Афины","Томск","","2012-05-26 00:00:00","2012-05-27 00:00:00","4","15","","60","Обычный","","","","","Победителем признана команда Т-400","http://chgk.tomsk.ru/?cat=25","",""
"1769","Сибирские Афины","Томск","","2011-04-23 00:00:00","2011-04-24 00:00:00","4","15","","60","Региональный","","","","","","","",""
"4768","Чемпионат Литвы","Вильнюс","XIV Чемпионат Литвы по ""Что? Где? Когда?""","2018-04-14 12:00:00","2018-04-14 18:00:00","4","15","","60","Обычный","30","","","","Учитывается в рамках турнира VSOP","http://chtogdekogda.lt/чемпионат-литвы/","€",""
"3737","Кубок губернатора Иркутской области","Иркутск","IV Межрегиональный турнир ""Кубок губернатора Иркутской области по интеллектуальным играм""","2016-04-02 11:00:00","2016-04-03 18:00:00","6","15","","90","Обычный","2400","0","","","","http://IQGa.me","руб",""
"4216","Чемпионат Мурманской области. Высшая лига","Мурманск","XI Открытый Чемпионат Мурманской области по игре «Что? Где? Когда?» 2017 года. Высшая лига","2017-03-25 00:00:00","2017-05-31 00:00:00","3","16","","48","Обычный","1500","1200","студенческие команды, 900 руб школьные команды ","","","","руб","руб"
"4288","Зеркало финала ОЧВР","","Зеркало финального этапа Открытого чемпионата вузов России и Республики Беларусь по интеллектуальным играм","2017-03-26 19:00:00","2017-03-30 19:00:00","5","9","","45","Синхрон","300","250","250 рублей с команды для площадок, на которых сыграло не менее 5 команд; 200 рублей с команды для площадок, на которых сыграло не менее 10 команд. ","2017-03-29","","http://www.ochvspb.aerobrain.ru/","руб","руб"
"3709","Чемпионат Мурманской области. Высшая лига","Мурманск","X Открытый Чемпионат Мурманской области по игре «Что? Где? Когда?» 2016 года","2016-03-12 00:00:00","2016-05-22 23:55:00","4","12","","48","Обычный","1500","1200","студенческие команды, 900 руб школьные команды","","","http://vk.com/xchgkchempmo","руб","руб"
"3406","Пущинские дали – синхрон","","Международный синхронный турнир ""Пущинские дали"" по игре ""Что? Где? Когда?""","2015-07-17 14:00:00","2015-07-21 14:00:00","3","14","","42","Синхрон","9","0","","2015-07-19","","http://rating.chgk.info/tournament/3406/regulations","$",""
"4175","Кавалькада волхвов","Томск","ЧГК-марафон ""Кавалькада волхвов""","2017-01-05 06:00:00","2017-01-05 16:00:00","22","15","","330","Обычный","0","","","","","","",""
"3332","Сибирские Афины","Томск","VI Межрегиональный фестиваль интеллектуальных игр ""Сибирские Афины-2015""","2015-05-01 11:00:00","2015-05-03 14:00:00","5","12","","60","Обычный","2000","1500","студенты","","","http://chgk.tomsk.ru/?cat=25","руб","руб"
"663","Сибирские Афины","Томск","","2010-05-23 00:00:00","2010-05-23 00:00:00","","","","","Региональный","","","","","","","",""
"642","AU","Новосибирск","","2010-05-08 00:00:00","2010-05-08 00:00:00","","","","","Обычный","","","","","","","",""
"534","Енисейская знать","Красноярск","","2009-10-31 00:00:00","2009-11-01 00:00:00","","","","","Обычный","","","","","","","",""
"3565","Холодная голова","Уфа","Фестиваль интеллектуальных игр «Холодная Голова-2016»","2016-01-04 00:00:00","2016-01-06 00:00:00","6","15","","90","Обычный","10","0","","","","http://coldhead.orkclub.ru/","$",""
"2163","Янтарная сова","Калининград","","2012-08-25 00:00:00","2012-08-26 00:00:00","6","15","","90","Региональный","","","","","","","",""
"1904","Янтарная сова","Калининград","","2011-08-13 00:00:00","2011-08-14 00:00:00","6","15","","90","Региональный","","","","","","","",""
"722","Янтарная сова","Калининград","","2010-08-21 00:00:00","2010-08-22 00:00:00","","","","","Обычный","","","","","","","",""
"5210","Эврика! - 10","","Эврика! - 10","2018-10-12 19:00:00","2018-10-16 18:59:00","3","12","","36","Синхрон","0","","","2018-10-15","","","",""
